City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,sao vicente,-23.9631,-46.3919,30.55,59,0,1.03,BR,1715081496
243,okha,53.5739,142.9478,-0.42,81,13,4.02,RU,1715081497
244,xining,36.6167,101.7667,20.45,26,98,6.88,CN,1715081497
245,kruisfontein,-34.0033,24.7314,26.6,46,11,4.83,ZA,1715081497
246,shaydon,40.6747,70.346,25.61,28,65,3.05,TJ,1715081497
247,qaqortoq,60.7167,-46.0333,0.18,53,55,2.01,GL,1715081497
248,lae,-6.7221,146.9847,24.07,91,99,0.75,PG,1715081497
249,rockland,41.1668,-74.0496,16.92,85,56,2.14,US,1715081497
250,port elizabeth,-33.918,25.5701,27.83,68,0,6.17,ZA,1715081497
251,delemont,47.3649,7.3445,14.01,89,100,2.02,CH,1715081497
252,gadarwara,22.9167,78.7833,41.91,10,1,4.78,IN,1715081498
253,fonte boa,-2.4959,-66.2662,24.43,97,98,0.58,BR,1715081498
254,itoman,26.1247,127.6694,24.43,73,75,6.69,JP,1715081498
255,kenai,60.5544,-151.2583,2.86,100,0,3.09,US,1715081463
256,hotan,37.0997,79.9269,27.17,16,68,0.82,CN,1715081498
257,riyadh,24.6877,46.7219,37.08,10,0,5.5,SA,1715080963
258,amga,60.8953,131.9608,8.94,88,100,5.63,RU,1715081498
259,hamirpur,25.95,80.15,42.54,12,21,5.48,IN,1715081499
260,sao martinho,39.5144,-9.1311,24.31,73,99,4.47,PT,1715081499
261,mogadishu,2.0371,45.3438,30.93,79,40,6.69,SO,1715081499
262,las veredas,23.1388,-109.7075,23.81,59,100,2.09,MX,1715081499
263,iwon-up,40.3231,128.6553,9.44,88,100,0.3,KP,1715081499
264,hamilton,39.1834,-84.5333,19.05,96,100,2.57,US,1715081499
265,calca,-13.3333,-71.95,9.64,80,78,1.04,PE,1715081500
266,remire-montjoly,4.9167,-52.2667,26.02,100,100,1.54,GF,1715081500
267,ermoupolis,37.4423,24.9425,23.76,56,0,2.57,GR,1715081500
268,dwarka,22.2394,68.9678,30.19,71,0,7.04,IN,1715081500
269,chamba,32.5667,76.1333,27.25,42,51,3.31,IN,1715081500
270,le port,-20.9373,55.2919,28.0,66,13,0.63,RE,1715081500
271,colonia menno,-22.3667,-59.8167,28.27,55,1,8.72,PY,1715081500
272,kuta,-8.7233,115.1723,27.97,88,40,5.81,ID,1715081500
273,palmaner,13.2,78.75,36.22,27,34,6.12,IN,1715081501
274,al khafji,28.4391,48.4913,28.92,49,1,6.79,SA,1715081501
275,mahdia,35.5047,11.0622,21.97,61,100,4.96,TN,1715081258
276,launceston,-41.45,147.1667,9.8,81,100,5.14,AU,1715081501
277,vilyuchinsk,52.9306,158.4028,1.63,88,50,1.3,RU,1715081501
278,piney green,34.716,-77.3202,22.17,99,0,2.57,US,1715081501
279,sandnessjoen,66.0217,12.6316,13.29,37,0,1.54,NO,1715081501
280,aguacatan,15.3431,-91.3117,15.81,46,75,1.42,GT,1715081501
281,suihua,46.6406,126.9969,16.36,23,8,2.94,CN,1715081501
282,magaria,12.9983,8.9099,41.92,14,33,4.12,NE,1715081502
283,port shepstone,-30.7414,30.455,26.33,57,0,4.51,ZA,1715081502
284,lerwick,60.1545,-1.1494,11.0,70,82,5.91,GB,1715081502
285,terra nova,-12.3667,-40.6667,22.97,74,78,3.29,BR,1715081408
286,darnah,32.767,22.6367,19.62,61,3,4.18,LY,1715081502
287,vilhena,-12.7406,-60.1458,23.12,83,0,2.57,BR,1715081357
288,vadso,70.0744,29.7487,2.49,80,40,6.17,NO,1715081502
289,mejit,10.2753,170.8646,28.18,74,100,9.09,MH,1715081502
290,anadyr,64.75,177.4833,-5.72,93,40,6.0,RU,1715081503
291,labrador city,52.9463,-66.9114,1.77,70,75,2.06,CA,1715081411
292,as sulayyil,20.4607,45.5779,38.14,11,0,2.43,SA,1715081503
293,guerrero negro,27.9769,-114.0611,14.05,85,2,4.99,MX,1715081503
294,sarkand,45.41,79.9186,23.49,44,22,2.1,KZ,1715081503
295,dubove,48.1721,23.8895,14.05,91,100,0.96,UA,1715081503
296,akureyri,65.6835,-18.0878,9.96,50,40,6.69,IS,1715081503
297,forres,57.6113,-3.6108,13.32,74,100,3.6,GB,1715081504
298,tazacorte,28.629,-17.9293,22.54,64,20,3.09,ES,1715081504
299,new baltimore,42.6811,-82.7369,12.92,82,75,1.54,US,1715081504
300,nema,57.5067,50.5011,4.99,77,99,3.8,RU,1715081504
301,saint-joseph,-21.3667,55.6167,27.21,65,18,7.1,RE,1715081504
302,buka,40.8108,69.1986,31.49,22,51,4.05,UZ,1715081504
303,lensk,60.7253,114.9278,5.02,79,74,3.73,RU,1715081504
304,tagiura,32.8817,13.3506,28.22,40,100,7.84,LY,1715081505
305,bamboo flat,11.7,92.7167,32.05,66,40,3.6,IN,1715081505
306,hauterive,46.0901,3.4459,15.42,84,97,1.71,FR,1715081505
307,dickinson,29.4608,-95.0513,26.18,90,100,6.17,US,1715081505
308,bastia,42.6667,9.3333,18.89,73,75,4.2,FR,1715081505
309,nyrob,60.733,56.7202,5.3,43,100,4.4,RU,1715081505
310,nar'yan-mar,67.6713,53.087,-6.05,83,100,7.6,RU,1715081505
311,tocopilla,-22.092,-70.1979,18.51,72,17,1.97,CL,1715081506
312,kulhudhuffushi,6.6221,73.07,29.83,72,100,4.36,MV,1715081506
313,shanwei,22.782,115.3475,25.46,81,59,4.9,CN,1715081506
314,farah,32.5,62.5,33.42,13,47,2.17,AF,1715081506
315,san patricio,28.017,-97.5169,27.13,87,67,3.86,US,1715081506
316,novyy urengoy,66.0833,76.6333,-3.28,92,69,4.4,RU,1715081506
